IDS A1470 A1568 A1575 A1587 A1592 A1611 A1619 A1623 A1642 A1663 A1675 A1691 A1720 A1727 A1731 A1738 A1745 A1761 A1768 A1773 A1775 A1785 A1790 A1818 A1820 A3031 A3062 A3068 A3078 A3167 B1658 B1687 B1692 B1722 B1724 B1747 B1757 B1774 B1783 B1797 C1979 C2063 C2065 C2106 C2116 C2151 C2172 D2026 D2086 D2220 D2228 D2274 D2341 D2354 D2358 D2384 D2399 D2410 D2423 D2425 D2443 D2474 D2488 D2503 D2519 D2525 D2556 D2568 D2570 D2583 D2590 D3108 D3115 D3147 D3155 H0003 H0004 H0006 H0007 H0008 H0009 H0012 H0014 H0020 H0024 H0032 H0035 H0041 H0045 H0047 H0051 H0052 H0054 H0056 H0058 H0059 H0061 H0064 H0068 H0077 H0078 H0085 H0091 H0099 H0101 H0104 H0107 H0108 H0109 H0111 H0113 H0115 H0117 H0119 H0120 H0123 H0125 H0128 H0133 H0134 H0146 H0151 H0152 H0156 H0157 H0158 H0159 H0164 H0165 H0177 H0178 H0181 H0185 H0190 H0195 H0217 H0219 H0222 H0223 R3026 R3030 R3032 R3040 R3041 R3045 R3057 R3066 R3075 R3080 R3091 R3126 R3171 R3173
CRHR1 0.598118547060776 0.600120870102146 0.593372249911058 0.515186963842868 0.612225947697228 0.612468770002985 0.596410854302732 0.592241224282494 0.595894868304118 0.607030715559882 0.587947474976239 0.601213024266339 0.581504046425732 0.56173257972017 0.608734122829785 0.585221909143368 0.587787513115001 0.624350090353833 0.584754082969458 0.604353210899254 0.58732874395197 0.606102719200448 0.589305218023485 0.589282572522238 0.599764517646159 0.60408044253563 0.519836796509193 0.575836556942169 0.584749446472436 0.59884939543485 0.578987611765214 0.609108323328586 0.612175173196271 0.50872773990548 0.582361862952662 0.603615252888903 0.581151247015496 0.602811825488143 0.585785971540609 0.616607458980069 0.590406540045975 0.588218977170227 0.612658011844585 0.597237432236653 0.597222113894879 0.606131641276858 0.585284442510327 0.586856872158163 0.594029222476593 0.600170243617471 0.577409173614194 0.584042833761232 0.597163949458619 0.593039353037141 0.630718441497996 0.604705924035366 0.609571121382547 0.598125648163511 0.599170963941857 0.508188036268035 0.600208301016748 0.59928888288519 0.584108888947401 0.598805160403264 0.593195545499829 0.598589053858741 0.619282739943086 0.57628668019464 0.516332156919595 0.588605019595163 0.586997409092384 0.582110571088646 0.584579978874074 0.579730137051755 0.596877286288621 0.578250994373235 0.607740946307115 0.612746530048152 0.601015061385325 0.600342183098166 0.59159524098671 0.601957994749231 0.606254568555791 0.59166375062372 0.59493648362778 0.590636042918221 0.61368325476564 0.604647341324673 0.587670226778017 0.601950398225859 0.593722823193925 0.592043110830945 0.597436838161655 0.624683726104482 0.588758809408652 0.590183298069275 0.591028868971692 0.603984028093216 0.596043725901161 0.591141970492231 0.504041038649349 0.615728661040367 0.595751835888813 0.616165242943795 0.599517431349261 0.606927122236604 0.587109242242624 0.584873159827433 0.605328277808299 0.586393274005242 0.613114977823577 0.595276156311514 0.589801693357988 0.595786522923785 0.610782433663289 0.61172034024949 0.599782221754659 0.604689132359275 0.582499829540154 0.59057575947235 0.598132756912867 0.602625429127357 0.594851628222818 0.600150706497668 0.583863734125566 0.569696798144742 0.588171049509641 0.604225985168748 0.590708509246402 0.619664959282844 0.592097994333614 0.586683959433287 0.599063820060294 0.59461862621194 0.608078976922839 0.606534004488382 0.604481029094187 0.591762772981492 0.596048592199487 0.601936062765994 0.587112813078307 0.504709689632535 0.589711078378586 0.606358647456577 0.591483672747366 0.616050561989311 0.604371533502204 0.601083879588095 0.581502488485891 0.543219593382617 0.608712081542745 0.595876917692865 0.597862442302084
SYN3 0.472904010820294 0.486299918470555 0.474422282515673 0.486091234867847 0.473369335888806 0.480026467886185 0.453511168990187 0.495785777725035 0.502895359428997 0.466621557434239 0.479521661627312 0.47667714869313 0.469803775586466 0.456723903626724 0.486500397853389 0.472988327802469 0.478316666044496 0.494730492537935 0.499863004459829 0.462817237364897 0.482888340876947 0.47980504903792 0.464422606615373 0.470709139272363 0.460990550650797 0.445841421606988 0.477620696227936 0.47963606522752 0.459102079983262 0.47763919433735 0.468092086191806 0.484358932189499 0.489667242692825 0.479073429328332 0.458512479410606 0.484524308660404 0.470860009717049 0.487240677604279 0.473158536651331 0.469917789832213 0.483877683581433 0.499545941764016 0.49781136191683 0.458978543642635 0.465951239817467 0.44928932742955 0.469832706232601 0.474411588099718 0.462342788849666 0.480009900959973 0.471324839874384 0.479138826670404 0.463047356139268 0.494321212123859 0.476782793186107 0.488308509045479 0.470737732535789 0.476214870028651 0.475989513096696 0.474999315345984 0.468632714074263 0.494455575670387 0.485476306201988 0.475066799436957 0.48167325295554 0.471822668616017 0.458787425605322 0.483757617158375 0.470425829539115 0.478175904383653 0.488152283580968 0.466694183710136 0.458551553238895 0.485004822167553 0.479001980125738 0.473516187849957 0.475390160408728 0.496126727960182 0.507457920438073 0.475779841513242 0.479354812315024 0.463400552572999 0.493118596790451 0.463589811065028 0.464307788442762 0.476968631980537 0.484672685702868 0.458004069201694 0.475565500833206 0.492722096306404 0.475259167439597 0.467147632850311 0.475146039979578 0.451235087638782 0.457850520612551 0.472270469765275 0.482232780361916 0.469081678906947 0.470426432205167 0.473887161134862 0.457816231941657 0.467196974102405 0.455295355476068 0.48540091064771 0.480112570522469 0.4360437179837 0.497684031406909 0.461142070592189 0.468790869448798 0.478806883882226 0.479162334265208 0.465452359262447 0.47902985122701 0.472094225207609 0.479385512273177 0.475466311485228 0.465184339721944 0.443614194070191 0.464202185968109 0.467703327690184 0.480538010671645 0.478877407413865 0.468173423884384 0.469197820561079 0.47430225521272 0.504580026631949 0.464745552023722 0.466749132722189 0.488096893752175 0.474028235384182 0.460485833064774 0.463392292475683 0.466654543837617 0.459737564352063 0.486510843991448 0.485499698651428 0.485363346471257 0.471723982142531 0.469570325321755 0.476347341747784 0.474981027818552 0.463504353530372 0.489284386342272 0.464479688782674 0.471593296383261 0.482011164517174 0.451892528366622 0.476794204205057 0.474888282500817 0.47165335727849 0.469205733918822 0.471212792749418 0.474749590359975
MC2R 0.403376178946867 0.410583948192054 0.411927981254054 0.442502426257973 0.421807412736476 0.414547175540493 0.414861068914859 0.40491332502746 0.394417813840994 0.40325644908029 0.406235023643449 0.401841030858276 0.4303459150768 0.406485705972883 0.39967202845447 0.404979637064155 0.42001211358538 0.39239956439483 0.403583914881023 0.401703470776561 0.421733699255592 0.434748613253764 0.420931033098692 0.401108328602761 0.43010012382496 0.411097328731138 0.417006876804894 0.396325517819825 0.414833145073938 0.41309520803034 0.418447655392725 0.418560691203981 0.432061152169762 0.405957947380048 0.434721620427715 0.411109445180066 0.412828736991291 0.394761878535878 0.408174512436013 0.404158880230482 0.42452367482452 0.404632888682627 0.390981030709194 0.407756723652678 0.424825285299643 0.414323555096198 0.417965413719629 0.409401907655485 0.410298992642019 0.422203218987211 0.40417394585031 0.390900290447673 0.38622752544674 0.424696012517583 0.433822661632134 0.424930056414089 0.395701387722189 0.405910699922232 0.425492915112232 0.42587507400891 0.412159743578044 0.397363956160102 0.434090365583991 0.416186312087423 0.414597236372675 0.423758934919331 0.397319184467697 0.443438738086556 0.427305460766658 0.40782350188193 0.400693249860749 0.412360035407952 0.413075403525646 0.406552818788364 0.401543937794004 0.422205124137489 0.38976740001125 0.422702302229342 0.428711790050883 0.407354507593369 0.428848068706466 0.40788227620514 0.429309171864091 0.419931240104337 0.423889601661005 0.415562876221418 0.434395952982429 0.40353175212985 0.394463171718704 0.417031850753358 0.454810190482192 0.423306022237376 0.415265923035945 0.402232318214598 0.415451321567494 0.417718482110476 0.40272542362516 0.414140345995662 0.425063172456271 0.394073787413968 0.412868407901041 0.439441409987533 0.414410670743822 0.42642651863496 0.429981952257668 0.398880921485079 0.374555698734454 0.407767817804426 0.411039368305928 0.402493820939604 0.410259117674013 0.42886860025418 0.407938634355279 0.391148975785526 0.432872549463382 0.360122172729452 0.413967717243526 0.430749744427478 0.397390109533883 0.414156986503077 0.417980894689311 0.416476152878096 0.416473461394885 0.422144888291162 0.401858721741796 0.398987260617916 0.421897607803234 0.417452078106666 0.404485280498461 0.43464181750669 0.378047996497146 0.409696232387428 0.430433622025939 0.415223124998081 0.404801913102553 0.415490185475769 0.427963154670233 0.424087930169725 0.406737782772732 0.400107267872127 0.397995658991057 0.413596748398501 0.425679310312396 0.438398519619852 0.423071201517915 0.442296209258835 0.429341621488908 0.400508279604787 0.403906669076792 0.424519055657498 0.434733911152276 0.409215226090698 0.418126630154819
NOTCH4 0.596559788724366 0.612976539309589 0.602719673287969 0.588057089033665 0.597437566054272 0.618528832611134 0.610136216787007 0.615915029361285 0.614159262116245 0.591055417573702 0.60371553890917 0.609952624334959 0.600280117494577 0.596264365497758 0.603656784854942 0.609385181793789 0.595024549862613 0.604019742165625 0.597942100348028 0.602040808725213 0.592779675119946 0.590887732602878 0.610259638780848 0.621827496786408 0.609698642975039 0.602445053111979 0.600642078637621 0.618681997394586 0.599667645669639 0.59869526440403 0.597072918720722 0.590463868240819 0.606644240432645 0.602168998657163 0.602884938558853 0.596328071250634 0.593563412428395 0.601508502077126 0.614451022269102 0.599525543348287 0.616697747275195 0.599567659080848 0.607049393962985 0.587036879967136 0.602164177463153 0.593289761353686 0.601791700407095 0.599880116153579 0.605715197285051 0.59707300492172 0.597758915831968 0.601423759484454 0.599534629762511 0.610510656839861 0.586243375297323 0.597594408137935 0.594366622126645 0.619284785754786 0.594577939144663 0.587258317310245 0.602991325367838 0.604549665997671 0.609970403013018 0.59405898114507 0.584174503119297 0.599945969627001 0.596510923768626 0.624163082069263 0.581793271818809 0.598731207180516 0.597472923157441 0.594719148114135 0.592858320009249 0.618870361830412 0.603832582986293 0.594496459592974 0.60116326056833 0.587573468243174 0.608690847485741 0.597096845857576 0.600269044086301 0.62878349737265 0.594925909506459 0.588599893687046 0.587856222104141 0.600396007060776 0.593260316485698 0.599325556418309 0.595785880362292 0.616368297526277 0.598007446132602 0.592760868911445 0.608682992559626 0.592282017408909 0.603708173202337 0.592299405449282 0.611962327206288 0.595164726744479 0.603081094604309 0.597234112796418 0.59942401765452 0.581595534069757 0.600519442737217 0.595962397267026 0.59018255319959 0.589902356985895 0.591779182636545 0.599310732544488 0.59390833250757 0.609019916340458 0.589300809625062 0.587513350138667 0.606970292557213 0.613605973749703 0.591560243034768 0.597467309961901 0.604126112323685 0.578486561842013 0.583168374325957 0.577649359027615 0.607203374522329 0.601458852555644 0.599912062007326 0.596657592489162 0.610745133017708 0.600389017233481 0.609857272677427 0.588953474536406 0.600565776863269 0.58348490966779 0.604534418173589 0.608790501537803 0.592553630096241 0.602380433126183 0.610272409504987 0.612391621739797 0.577921508588909 0.611877283558383 0.591726195334692 0.613699652442346 0.59897770184471 0.612201858684402 0.595481008288534 0.600895298355548 0.612566157485554 0.580786592822075 0.588276512263083 0.61119621665429 0.618008655517506 0.605695013234341 0.583963866136497 0.608914627511105 0.592532900175573
TPH1 0.825449030731832 0.817531441218806 0.841165238386576 0.831519585656882 0.854055418201334 0.829876978326235 0.834474676539697 0.833237185791777 0.84440221230646 0.858886045693463 0.853691393432822 0.837103971594423 0.841286868441238 0.852730064232739 0.816205016855446 0.823434495936098 0.846738877155274 0.849056552700634 0.772302467713278 0.830768651781255 0.825541286960226 0.838512502645903 0.832294581744909 0.86238785984529 0.867944800831545 0.852091277557367 0.831679572757268 0.812514211209755 0.830265726831249 0.833494011723229 0.830948091202644 0.809661383556961 0.840977601005114 0.848350084403733 0.806379919515113 0.834461302631844 0.806144429962678 0.816153813358959 0.834085435696924 0.849648435635839 0.810341679768405 0.829282587395158 0.760922294440354 0.835108366474539 0.819706591845303 0.855144021857115 0.85062960494521 0.847718352183768 0.829180991173277 0.78615902412544 0.84226780948836 0.829607198638314 0.862055338501339 0.832981516643258 0.826392387204902 0.858056971048164 0.810447150250079 0.875739487828179 0.846036248613764 0.810751389875168 0.854138650432091 0.825595870646327 0.823495175798665 0.82551669337555 0.798124761126357 0.831414594119399 0.81639822756819 0.828756099748679 0.825947328846381 0.819357581927415 0.857757022083521 0.820719256171667 0.853322221106343 0.82712289227129 0.826593645496825 0.86503104374342 0.85078590162807 0.845641041832945 0.835646879666715 0.813899449287263 0.836697688440509 0.836228570182257 0.783606548675681 0.814877462324135 0.822920709760804 0.841961946631052 0.842329174612528 0.832234852841966 0.823951459118042 0.824116605042525 0.823439447496533 0.822856327631306 0.854626230287388 0.83078815826783 0.813876629911562 0.832053111291617 0.814003005301898 0.822217207088762 0.861116992710367 0.807537591986415 0.816669478593273 0.839745887329554 0.818662175477972 0.84934895917742 0.845443174721489 0.796976858214636 0.832153277660369 0.824020695892368 0.850667275549865 0.849450339600059 0.814210148938289 0.847667985433952 0.827895267455195 0.83846552312307 0.833622717518042 0.810944856538888 0.837926336117037 0.855840805818286 0.826257350785316 0.800656647894466 0.81039940163744 0.852872375541739 0.847555028671655 0.861406743969814 0.844795417028013 0.819797064179274 0.852854940684596 0.823424787043358 0.857150856547215 0.803351254545105 0.832962517921774 0.821458854988592 0.826270100099518 0.823604845565954 0.827897985064317 0.831041192788483 0.822855869377859 0.846612175826277 0.810554570275707 0.83578907676607 0.824626506815791 0.84338266477126 0.816890800730672 0.829884026992903 0.847414604897507 0.856522871087147 0.83281456662806 0.80956421426262 0.832732175054179 0.864834666416059 0.813095351351833 0.825602089040086 0.813400748480255
CRH 0.482287931339908 0.530342020932 0.489954278820745 0.525638245295842 0.523277556217754 0.508399803644275 0.531321295012971 0.529954878682315 0.545223436394153 0.521123295277091 0.491249830709111 0.551302469109443 0.532944305746382 0.54303847078548 0.470331649226231 0.55165301188663 0.522714774403478 0.489539182089269 0.521870754505108 0.52036810576744 0.522467617834334 0.494401965928167 0.541759934098976 0.496055589967686 0.515001335131217 0.5115415257971 0.473765962358677 0.522982364012357 0.588417228513709 0.506823989724459 0.526230481064935 0.519819267490176 0.537198960983144 0.520337026604835 0.522145711849279 0.505845051807965 0.528573743344009 0.531341709432151 0.520534159270422 0.511871992668349 0.517498985085027 0.532136935906787 0.571190360149842 0.530563228463769 0.533422202726032 0.476305619651362 0.515257139628886 0.556409782034434 0.50161331582283 0.528790930614034 0.556195336819623 0.534067883073413 0.516387545288198 0.517238796775451 0.538815987398472 0.498702751885806 0.523200809432056 0.548816631729046 0.47574816582868 0.530724957954688 0.525452512653444 0.505603793502757 0.520350067626038 0.527345675767358 0.534621180004698 0.480307093919285 0.529588698282859 0.553151849906028 0.51134492059077 0.492264023867423 0.525624724283738 0.490309892184879 0.513117225546394 0.506867906737408 0.540818008504019 0.499403724317451 0.525244409935322 0.514135848322473 0.488471089697411 0.487675975033702 0.550508882179761 0.501781050593741 0.474925268830022 0.519706031820793 0.540239132712688 0.502062497650519 0.511289337366924 0.513351203743718 0.530469371063258 0.523419032427557 0.518495137663511 0.579523576925886 0.525663532648577 0.526052860866034 0.533147588168947 0.495933705631934 0.48497706704876 0.521535442518287 0.522066409330311 0.508882036173083 0.542731630813401 0.52823092760712 0.512951345986644 0.477743990106127 0.544572469170903 0.53028425382907 0.496046132178271 0.540231790964623 0.527956708542467 0.540269314601608 0.53376426283237 0.496511191813313 0.528120832710505 0.491774229387661 0.536539345061642 0.537671654956902 0.501552714873295 0.500592699537104 0.533848303242169 0.565616638942711 0.503865049630901 0.538402536136952 0.501931208545516 0.535393114189079 0.538923321953458 0.517682876760623 0.529009004416836 0.485091676753151 0.469400573353837 0.531271949252869 0.508076038651962 0.500385724412046 0.500317615546029 0.515425248034723 0.529836159669048 0.53902192001968 0.463184130875716 0.498391721548308 0.558116786406414 0.512471738077956 0.47371570519255 0.526128767313356 0.568970296176512 0.512951760302414 0.537976277058724 0.504595970305544 0.555917218448974 0.548158639983859 0.562208837082452 0.523544716408007 0.490149069995215 0.528958704197074 0.559291308540084
SLC6A3 0.587533095635607 0.569443541525809 0.556174561164584 0.586620773642502 0.562262002347295 0.556665598776469 0.573437680552493 0.590060370284493 0.580268398795711 0.571503199715357 0.576189100474512 0.562287942364109 0.574106529797727 0.586477672915917 0.578855611210857 0.57797436948028 0.556621383285899 0.564149913052412 0.60097581983422 0.577931162686793 0.587847911504345 0.577127082253862 0.588703906471389 0.59336817937189 0.595073597412573 0.55927630712882 0.546270373854375 0.536060290541103 0.552795527970517 0.595969421885139 0.570199699187704 0.559752649872376 0.584070311368596 0.60705265106686 0.580544544848768 0.5777399187067 0.596822045177998 0.5709847590706 0.596336141995593 0.574285474257989 0.581132999572898 0.59655417554135 0.587534275909575 0.56847531191938 0.581071719203589 0.550215358526968 0.569446316300846 0.575884144858846 0.554157284662723 0.570708352396533 0.605669865430771 0.562585110241224 0.56742143732531 0.564352454777144 0.559767262148255 0.580184264534399 0.569436941139634 0.580110480437788 0.58972843657556 0.593768658843967 0.575750089103381 0.581884516301665 0.590551176977271 0.569373026944893 0.604573891592827 0.605009651361315 0.555101191939057 0.588455023375176 0.599164983204264 0.586722536573624 0.574300373634248 0.581193915534503 0.595611070589634 0.581021525099526 0.601578945423852 0.577078088626426 0.551279047987668 0.562820398463048 0.575413273494616 0.577976985817778 0.588528421928767 0.576443526778291 0.577433419235725 0.593937522756989 0.61101203838307 0.584480890726314 0.58216019648377 0.561325023623606 0.565130807777548 0.583161048610282 0.613788435445507 0.597165013055101 0.584116109811899 0.58897579766866 0.573402566664931 0.552982900859464 0.557392503992185 0.573100674014368 0.557948270405396 0.566336654745434 0.61143391381675 0.565591730005522 0.583714928722778 0.572190851357476 0.582371295766932 0.576283953429074 0.561721807873089 0.567593105702344 0.58743467205243 0.55931738647946 0.561727790757455 0.575606947944831 0.562814721919238 0.547676532116733 0.586269001101955 0.555708658214579 0.585250306868394 0.589328967306265 0.570036865411128 0.579698323813139 0.579734701668607 0.586282536682654 0.582752080635604 0.536342631783613 0.577977308705611 0.583577880774662 0.59627841489337 0.571551206347478 0.579978806697358 0.592167413566827 0.570250583711411 0.591610438390748 0.597774000992066 0.599800251762461 0.581155037029755 0.585334022098796 0.599645661875657 0.585778051768168 0.574374948640856 0.585468515376933 0.571445902425523 0.571939476840788 0.58774674853793 0.592633391104933 0.587225256289947 0.585555707001061 0.592441833318878 0.573417229511589 0.581556234406023 0.582383599156166 0.597583957216374 0.565331940434025 0.587911163319571
CRHR2 0.712467669627167 0.664551308705984 0.713652234996747 0.717344422530233 0.693769771875607 0.692277328246346 0.719423710877702 0.723453588449316 0.726767670088048 0.710480341333484 0.716594670727736 0.696046276520034 0.710491900137245 0.741076601222798 0.732143239948664 0.709423540823164 0.718632071354441 0.729173847911546 0.676248050342427 0.675129486889504 0.714509014652476 0.717662984043824 0.697243554729654 0.699921337589357 0.718371656019487 0.691249501323677 0.729331511944418 0.696505644246482 0.722247216921775 0.716501198008459 0.684326665980728 0.727977689092068 0.695077556643141 0.715468266577701 0.712053649142085 0.707572162176487 0.718567298685522 0.672239700820072 0.710607090497939 0.722835359974587 0.706742320965044 0.712721152647338 0.699334246581838 0.728783223735902 0.6574392785418 0.716473090380707 0.717305590782303 0.730641090699087 0.701896456285284 0.707726401907095 0.724482990044211 0.720006760567182 0.702177036922127 0.694497069601267 0.71899453901432 0.718806316697414 0.714345755457501 0.722169578408524 0.706548797077167 0.731600578583143 0.703175021992268 0.7120599788004 0.662195503583104 0.710685353746386 0.701329895398852 0.70630967900487 0.722442173767795 0.660208226950528 0.73874578885581 0.728074545498757 0.70901291601664 0.701547804479844 0.709045569207394 0.71487513849959 0.710211456884061 0.69913642508875 0.703348137485063 0.725987563583376 0.709102290480306 0.703083357139352 0.714200149134394 0.720451519386911 0.706862125506289 0.744208384710689 0.685719487361513 0.737045201414579 0.720828827459738 0.710175344660917 0.718942246948427 0.725746254748242 0.727177209176639 0.695221099472631 0.726891511628007 0.723413159307141 0.724387739036259 0.730868269885005 0.733011048866658 0.707288955894416 0.709445089564857 0.718342112159821 0.716606835466572 0.677279721939236 0.725855566457813 0.734114938513121 0.727337808157131 0.730814094402917 0.706178946378321 0.697874799839157 0.727103573818397 0.711647047816369 0.715153780146881 0.712565794017083 0.712196697170468 0.690573247825563 0.701510096885701 0.711147551647661 0.716852278720185 0.702370467981908 0.704771799456181 0.674220626266784 0.720956616576882 0.705330388516004 0.713545075104476 0.721532276207449 0.695182453710366 0.697235136832111 0.723433913256242 0.70136906513457 0.681832697529635 0.72282058187141 0.690461789424986 0.726418240876922 0.712848625132604 0.724701955057569 0.705325814547072 0.702322372866076 0.721022115940928 0.700914471306669 0.72061937095093 0.71761684121684 0.715559828764272 0.71086022132528 0.718925707203533 0.714985478126883 0.718486989518176 0.720692178150785 0.729032151473137 0.721317696540966 0.721327199330191 0.7193142361769 0.74030723583614 0.701254814559238 0.708686433548287
HTR1B 0.518879286040737 0.538728927658592 0.517555919072455 0.535028830866491 0.537678798063708 0.546062853649535 0.543029419001354 0.538608396354657 0.53108021244869 0.52656774453265 0.532904132967016 0.514565730866798 0.545495024457992 0.549960787504211 0.524941786397059 0.53003480520833 0.539307992253156 0.564692931137271 0.510592057152667 0.540173399344389 0.52230249510612 0.533852883187341 0.540277097573691 0.526888448728345 0.571236380952969 0.543011230497083 0.522176302018739 0.525246350973818 0.553629778583703 0.531638049046635 0.562225547004971 0.525585129128728 0.507601693329541 0.528587041048983 0.526076430210899 0.569368942072643 0.528238135112823 0.531322617687767 0.522162131685333 0.526510135041758 0.532899547499268 0.542720227863573 0.556317956478383 0.537997148323932 0.52704668218832 0.560217292204804 0.545247952293028 0.523703620887042 0.521411776021467 0.544227391397563 0.551379387512408 0.550073734830171 0.518053940900282 0.525404055968147 0.5338573415393 0.556594367491097 0.512148150790943 0.533706075500096 0.531900690352905 0.538555504939503 0.526472998926949 0.522523001632102 0.501830111532631 0.524512180267927 0.528905124238034 0.491826978174512 0.541591715514061 0.525666133924374 0.522594565091471 0.515608764965294 0.543391118373026 0.554226765762665 0.520073693754486 0.541482039626861 0.55417374511078 0.512979516622941 0.508126538607635 0.543235894184879 0.527077634443263 0.541280909573481 0.538968455471343 0.531570956608093 0.558931543996129 0.552002399722465 0.568755175400813 0.550707715666694 0.534110794054765 0.537785405721073 0.537128584510446 0.508309302555874 0.548347225036841 0.560914382103462 0.548449298514579 0.528181260796651 0.532032752397481 0.549988061961773 0.540377446470393 0.531608828200384 0.551340712698851 0.543788619496554 0.539122621557965 0.542804502748289 0.512040542712799 0.558700778856574 0.545348704452269 0.549868577267017 0.522406485915733 0.537567601424529 0.527542091643861 0.53332984245463 0.536490308744341 0.551663065122846 0.533035949587907 0.534601454633971 0.555755155338544 0.56041237224953 0.545287579135844 0.53540958800432 0.547672564287297 0.542335793311237 0.527703265092797 0.566738595925026 0.54319716293201 0.554051302151311 0.548183825078523 0.550965571266224 0.537954389870937 0.555789155593188 0.548008128668355 0.556425083621702 0.524138233921115 0.530985483632941 0.537498366055332 0.539623040197035 0.518484270813087 0.519312913898011 0.530096938713276 0.552022088202444 0.526053705201853 0.534715713475845 0.522709868770177 0.547122809273266 0.526857995108348 0.541686940125153 0.535949181571575 0.539536907594875 0.539619379459483 0.526178891303187 0.536179516735583 0.528229089861599 0.538539234059641 0.517888042480124 0.56773281264792
DRD4 0.556156770573029 0.483470003989954 0.601527749414723 0.519423680358597 0.624341705353918 0.546137045808747 0.528816217716321 0.474718594933815 0.568414338067934 0.555733142764044 0.504458110267633 0.551542496658085 0.628158349722952 0.465506487906737 0.619134100544685 0.599552094801047 0.568922565982499 0.611434629150042 0.494343357838879 0.482730620699272 0.640297432010198 0.545335697418004 0.619514779549585 0.426702004589615 0.644592139656652 0.45361107957372 0.644419167795673 0.574503233575007 0.540734967766164 0.469251144673639 0.539295767011072 0.541178177873165 0.6358924706121 0.582527349268897 0.464404322795222 0.55252826538922 0.4736424945445 0.609966733454371 0.637096057779191 0.522776792883249 0.498734687634448 0.455249180312479 0.56853832339838 0.556926361864861 0.598526673152415 0.601707537317208 0.628049999572726 0.487252132512527 0.566524992695844 0.494463676649932 0.515891699030265 0.653970864992783 0.603281877188325 0.569105103470725 0.598426796466682 0.489324551998074 0.553168830824021 0.61020033419888 0.533622533022407 0.600992075307841 0.623469261422588 0.600926682971093 0.522350401261766 0.658101055142817 0.628046540545262 0.412877463972525 0.592183326451671 0.632564705171747 0.46166135325683 0.636506725640241 0.594516867896285 0.62890393097047 0.566518375656881 0.547630218021303 0.541754317131832 0.656232977783177 0.48893897612546 0.616711463895808 0.580040009848117 0.604149619355115 0.49639337129695 0.523806137244159 0.384167636686426 0.608573266285485 0.465880266802876 0.443875156983548 0.539835690150921 0.557486808172648 0.578942578877251 0.531828669046002 0.560947570902542 0.464460573250216 0.591897607220415 0.663934521409361 0.614166431773808 0.623758999610953 0.649618304593842 0.595904933488945 0.657616047832083 0.590952573452971 0.66796400314836 0.58709171062583 0.606204415399047 0.582727773612351 0.554178761882735 0.39312936370137 0.408847025476932 0.622869117623523 0.601746461755368 0.587612594821564 0.627391097301618 0.492442223891382 0.626745311608642 0.643568362014424 0.583627855451113 0.523933493504027 0.610973478892394 0.605189836612306 0.622716767001469 0.556033960750986 0.501292738314167 0.51411671226053 0.622318563946272 0.580438303055841 0.63307587831375 0.575473714809555 0.594379205714999 0.609170669568814 0.607150572040413 0.591542391265646 0.64097750296051 0.624009439134652 0.629023399488447 0.576371541376642 0.487756977566509 0.594069277600264 0.563232398533533 0.522452137290723 0.489424275276354 0.528127833043711 0.631056006248619 0.366436904723976 0.507799826684046 0.395596896192371 0.615545779148449 0.632155175005445 0.595426042812919 0.620802108603526 0.579840894400288 0.598193351282151 0.469336640980917 0.470301268732398 0.629217262900783
