IDS A1470 A1575 A1587 A1592 A1623 A1663 A1691 A1731 A1738 A1745 A1773 A1775 A1790 A1818 A1820 A3031 A3062 A3068 A3078 A3167 B1692 B1724 B1747 B1757 B1774 B1783 B1797 C2106 C2151 D2086 D2220 D2341 D2354 D2384 D2443 D2474 D2488 D2503 D2519 D2568 D2570 D2583 D3147 D3155 H0006 H0009 H0014 H0035 H0041 H0054 H0056 H0059 H0061 H0064 H0068 H0077 H0078 H0085 H0091 H0099 H0101 H0104 H0107 H0108 H0109 H0111 H0115 H0117 H0123 H0128 H0133 H0134 H0146 H0151 H0152 H0156 H0159 H0165 H0177 H0178 H0185 H0190 H0217 R3026 R3030 R3032 R3040 R3041 R3045 R3057 R3066 R3075 R3091 R3126 R3171
CRHR1 0.598118547060776 0.593372249911058 0.515186963842868 0.612225947697228 0.592241224282494 0.607030715559882 0.601213024266339 0.608734122829785 0.585221909143368 0.587787513115001 0.604353210899254 0.58732874395197 0.589305218023485 0.589282572522238 0.599764517646159 0.60408044253563 0.519836796509193 0.575836556942169 0.584749446472436 0.59884939543485 0.612175173196271 0.582361862952662 0.603615252888903 0.581151247015496 0.602811825488143 0.585785971540609 0.616607458980069 0.597237432236653 0.606131641276858 0.594029222476593 0.600170243617471 0.597163949458619 0.593039353037141 0.604705924035366 0.600208301016748 0.59928888288519 0.584108888947401 0.598805160403264 0.593195545499829 0.57628668019464 0.516332156919595 0.588605019595163 0.579730137051755 0.596877286288621 0.612746530048152 0.59159524098671 0.606254568555791 0.61368325476564 0.604647341324673 0.597436838161655 0.624683726104482 0.590183298069275 0.591028868971692 0.603984028093216 0.596043725901161 0.591141970492231 0.504041038649349 0.615728661040367 0.595751835888813 0.616165242943795 0.599517431349261 0.606927122236604 0.587109242242624 0.584873159827433 0.605328277808299 0.586393274005242 0.595276156311514 0.589801693357988 0.61172034024949 0.604689132359275 0.582499829540154 0.59057575947235 0.598132756912867 0.602625429127357 0.594851628222818 0.600150706497668 0.588171049509641 0.590708509246402 0.619664959282844 0.592097994333614 0.599063820060294 0.59461862621194 0.606534004488382 0.601936062765994 0.587112813078307 0.504709689632535 0.589711078378586 0.606358647456577 0.591483672747366 0.616050561989311 0.604371533502204 0.601083879588095 0.543219593382617 0.608712081542745 0.595876917692865
SYN3 0.472904010820294 0.474422282515673 0.486091234867847 0.473369335888806 0.495785777725035 0.466621557434239 0.47667714869313 0.486500397853389 0.472988327802469 0.478316666044496 0.462817237364897 0.482888340876947 0.464422606615373 0.470709139272363 0.460990550650797 0.445841421606988 0.477620696227936 0.47963606522752 0.459102079983262 0.47763919433735 0.489667242692825 0.458512479410606 0.484524308660404 0.470860009717049 0.487240677604279 0.473158536651331 0.469917789832213 0.458978543642635 0.44928932742955 0.462342788849666 0.480009900959973 0.463047356139268 0.494321212123859 0.488308509045479 0.468632714074263 0.494455575670387 0.485476306201988 0.475066799436957 0.48167325295554 0.483757617158375 0.470425829539115 0.478175904383653 0.485004822167553 0.479001980125738 0.496126727960182 0.479354812315024 0.493118596790451 0.484672685702868 0.458004069201694 0.475146039979578 0.451235087638782 0.472270469765275 0.482232780361916 0.469081678906947 0.470426432205167 0.473887161134862 0.457816231941657 0.467196974102405 0.455295355476068 0.48540091064771 0.480112570522469 0.4360437179837 0.497684031406909 0.461142070592189 0.468790869448798 0.478806883882226 0.465452359262447 0.47902985122701 0.475466311485228 0.443614194070191 0.464202185968109 0.467703327690184 0.480538010671645 0.478877407413865 0.468173423884384 0.469197820561079 0.464745552023722 0.488096893752175 0.474028235384182 0.460485833064774 0.466654543837617 0.459737564352063 0.485499698651428 0.476347341747784 0.474981027818552 0.463504353530372 0.489284386342272 0.464479688782674 0.471593296383261 0.482011164517174 0.451892528366622 0.476794204205057 0.47165335727849 0.469205733918822 0.471212792749418
MC2R 0.403376178946867 0.411927981254054 0.442502426257973 0.421807412736476 0.40491332502746 0.40325644908029 0.401841030858276 0.39967202845447 0.404979637064155 0.42001211358538 0.401703470776561 0.421733699255592 0.420931033098692 0.401108328602761 0.43010012382496 0.411097328731138 0.417006876804894 0.396325517819825 0.414833145073938 0.41309520803034 0.432061152169762 0.434721620427715 0.411109445180066 0.412828736991291 0.394761878535878 0.408174512436013 0.404158880230482 0.407756723652678 0.414323555096198 0.410298992642019 0.422203218987211 0.38622752544674 0.424696012517583 0.424930056414089 0.412159743578044 0.397363956160102 0.434090365583991 0.416186312087423 0.414597236372675 0.443438738086556 0.427305460766658 0.40782350188193 0.406552818788364 0.401543937794004 0.422702302229342 0.428848068706466 0.429309171864091 0.434395952982429 0.40353175212985 0.415265923035945 0.402232318214598 0.417718482110476 0.40272542362516 0.414140345995662 0.425063172456271 0.394073787413968 0.412868407901041 0.439441409987533 0.414410670743822 0.42642651863496 0.429981952257668 0.398880921485079 0.374555698734454 0.407767817804426 0.411039368305928 0.402493820939604 0.42886860025418 0.407938634355279 0.360122172729452 0.430749744427478 0.397390109533883 0.414156986503077 0.417980894689311 0.416476152878096 0.416473461394885 0.422144888291162 0.421897607803234 0.404485280498461 0.43464181750669 0.378047996497146 0.430433622025939 0.415223124998081 0.415490185475769 0.400107267872127 0.397995658991057 0.413596748398501 0.425679310312396 0.438398519619852 0.423071201517915 0.442296209258835 0.429341621488908 0.400508279604787 0.424519055657498 0.434733911152276 0.409215226090698
NOTCH4 0.596559788724366 0.602719673287969 0.588057089033665 0.597437566054272 0.615915029361285 0.591055417573702 0.609952624334959 0.603656784854942 0.609385181793789 0.595024549862613 0.602040808725213 0.592779675119946 0.610259638780848 0.621827496786408 0.609698642975039 0.602445053111979 0.600642078637621 0.618681997394586 0.599667645669639 0.59869526440403 0.606644240432645 0.602884938558853 0.596328071250634 0.593563412428395 0.601508502077126 0.614451022269102 0.599525543348287 0.587036879967136 0.593289761353686 0.605715197285051 0.59707300492172 0.599534629762511 0.610510656839861 0.597594408137935 0.602991325367838 0.604549665997671 0.609970403013018 0.59405898114507 0.584174503119297 0.624163082069263 0.581793271818809 0.598731207180516 0.618870361830412 0.603832582986293 0.587573468243174 0.600269044086301 0.594925909506459 0.593260316485698 0.599325556418309 0.608682992559626 0.592282017408909 0.592299405449282 0.611962327206288 0.595164726744479 0.603081094604309 0.597234112796418 0.59942401765452 0.581595534069757 0.600519442737217 0.595962397267026 0.59018255319959 0.589902356985895 0.591779182636545 0.599310732544488 0.59390833250757 0.609019916340458 0.587513350138667 0.606970292557213 0.597467309961901 0.578486561842013 0.583168374325957 0.577649359027615 0.607203374522329 0.601458852555644 0.599912062007326 0.596657592489162 0.609857272677427 0.600565776863269 0.58348490966779 0.604534418173589 0.592553630096241 0.602380433126183 0.612391621739797 0.613699652442346 0.59897770184471 0.612201858684402 0.595481008288534 0.600895298355548 0.612566157485554 0.580786592822075 0.588276512263083 0.61119621665429 0.605695013234341 0.583963866136497 0.608914627511105
TPH1 0.825449030731832 0.841165238386576 0.831519585656882 0.854055418201334 0.833237185791777 0.858886045693463 0.837103971594423 0.816205016855446 0.823434495936098 0.846738877155274 0.830768651781255 0.825541286960226 0.832294581744909 0.86238785984529 0.867944800831545 0.852091277557367 0.831679572757268 0.812514211209755 0.830265726831249 0.833494011723229 0.840977601005114 0.806379919515113 0.834461302631844 0.806144429962678 0.816153813358959 0.834085435696924 0.849648435635839 0.835108366474539 0.855144021857115 0.829180991173277 0.78615902412544 0.862055338501339 0.832981516643258 0.858056971048164 0.854138650432091 0.825595870646327 0.823495175798665 0.82551669337555 0.798124761126357 0.828756099748679 0.825947328846381 0.819357581927415 0.82712289227129 0.826593645496825 0.845641041832945 0.836697688440509 0.783606548675681 0.842329174612528 0.832234852841966 0.854626230287388 0.83078815826783 0.832053111291617 0.814003005301898 0.822217207088762 0.861116992710367 0.807537591986415 0.816669478593273 0.839745887329554 0.818662175477972 0.84934895917742 0.845443174721489 0.796976858214636 0.832153277660369 0.824020695892368 0.850667275549865 0.849450339600059 0.847667985433952 0.827895267455195 0.810944856538888 0.855840805818286 0.826257350785316 0.800656647894466 0.81039940163744 0.852872375541739 0.847555028671655 0.861406743969814 0.852854940684596 0.857150856547215 0.803351254545105 0.832962517921774 0.826270100099518 0.823604845565954 0.831041192788483 0.83578907676607 0.824626506815791 0.84338266477126 0.816890800730672 0.829884026992903 0.847414604897507 0.856522871087147 0.83281456662806 0.80956421426262 0.864834666416059 0.813095351351833 0.825602089040086
CRH 0.482287931339908 0.489954278820745 0.525638245295842 0.523277556217754 0.529954878682315 0.521123295277091 0.551302469109443 0.470331649226231 0.55165301188663 0.522714774403478 0.52036810576744 0.522467617834334 0.541759934098976 0.496055589967686 0.515001335131217 0.5115415257971 0.473765962358677 0.522982364012357 0.588417228513709 0.506823989724459 0.537198960983144 0.522145711849279 0.505845051807965 0.528573743344009 0.531341709432151 0.520534159270422 0.511871992668349 0.530563228463769 0.476305619651362 0.50161331582283 0.528790930614034 0.516387545288198 0.517238796775451 0.498702751885806 0.525452512653444 0.505603793502757 0.520350067626038 0.527345675767358 0.534621180004698 0.553151849906028 0.51134492059077 0.492264023867423 0.506867906737408 0.540818008504019 0.514135848322473 0.550508882179761 0.474925268830022 0.511289337366924 0.513351203743718 0.525663532648577 0.526052860866034 0.495933705631934 0.48497706704876 0.521535442518287 0.522066409330311 0.508882036173083 0.542731630813401 0.52823092760712 0.512951345986644 0.477743990106127 0.544572469170903 0.53028425382907 0.496046132178271 0.540231790964623 0.527956708542467 0.540269314601608 0.496511191813313 0.528120832710505 0.537671654956902 0.500592699537104 0.533848303242169 0.565616638942711 0.503865049630901 0.538402536136952 0.501931208545516 0.535393114189079 0.529009004416836 0.469400573353837 0.531271949252869 0.508076038651962 0.500317615546029 0.515425248034723 0.53902192001968 0.512471738077956 0.47371570519255 0.526128767313356 0.568970296176512 0.512951760302414 0.537976277058724 0.504595970305544 0.555917218448974 0.548158639983859 0.523544716408007 0.490149069995215 0.528958704197074
SLC6A3 0.587533095635607 0.556174561164584 0.586620773642502 0.562262002347295 0.590060370284493 0.571503199715357 0.562287942364109 0.578855611210857 0.57797436948028 0.556621383285899 0.577931162686793 0.587847911504345 0.588703906471389 0.59336817937189 0.595073597412573 0.55927630712882 0.546270373854375 0.536060290541103 0.552795527970517 0.595969421885139 0.584070311368596 0.580544544848768 0.5777399187067 0.596822045177998 0.5709847590706 0.596336141995593 0.574285474257989 0.56847531191938 0.550215358526968 0.554157284662723 0.570708352396533 0.56742143732531 0.564352454777144 0.580184264534399 0.575750089103381 0.581884516301665 0.590551176977271 0.569373026944893 0.604573891592827 0.588455023375176 0.599164983204264 0.586722536573624 0.581021525099526 0.601578945423852 0.562820398463048 0.588528421928767 0.577433419235725 0.58216019648377 0.561325023623606 0.584116109811899 0.58897579766866 0.552982900859464 0.557392503992185 0.573100674014368 0.557948270405396 0.566336654745434 0.61143391381675 0.565591730005522 0.583714928722778 0.572190851357476 0.582371295766932 0.576283953429074 0.561721807873089 0.567593105702344 0.58743467205243 0.55931738647946 0.575606947944831 0.562814721919238 0.555708658214579 0.589328967306265 0.570036865411128 0.579698323813139 0.579734701668607 0.586282536682654 0.582752080635604 0.536342631783613 0.59627841489337 0.579978806697358 0.592167413566827 0.570250583711411 0.597774000992066 0.599800251762461 0.585334022098796 0.585468515376933 0.571445902425523 0.571939476840788 0.58774674853793 0.592633391104933 0.587225256289947 0.585555707001061 0.592441833318878 0.573417229511589 0.582383599156166 0.597583957216374 0.565331940434025
CRHR2 0.712467669627167 0.713652234996747 0.717344422530233 0.693769771875607 0.723453588449316 0.710480341333484 0.696046276520034 0.732143239948664 0.709423540823164 0.718632071354441 0.675129486889504 0.714509014652476 0.697243554729654 0.699921337589357 0.718371656019487 0.691249501323677 0.729331511944418 0.696505644246482 0.722247216921775 0.716501198008459 0.695077556643141 0.712053649142085 0.707572162176487 0.718567298685522 0.672239700820072 0.710607090497939 0.722835359974587 0.728783223735902 0.716473090380707 0.701896456285284 0.707726401907095 0.702177036922127 0.694497069601267 0.718806316697414 0.703175021992268 0.7120599788004 0.662195503583104 0.710685353746386 0.701329895398852 0.660208226950528 0.73874578885581 0.728074545498757 0.71487513849959 0.710211456884061 0.725987563583376 0.714200149134394 0.706862125506289 0.720828827459738 0.710175344660917 0.726891511628007 0.723413159307141 0.730868269885005 0.733011048866658 0.707288955894416 0.709445089564857 0.718342112159821 0.716606835466572 0.677279721939236 0.725855566457813 0.734114938513121 0.727337808157131 0.730814094402917 0.706178946378321 0.697874799839157 0.727103573818397 0.711647047816369 0.712565794017083 0.712196697170468 0.711147551647661 0.702370467981908 0.704771799456181 0.674220626266784 0.720956616576882 0.705330388516004 0.713545075104476 0.721532276207449 0.723433913256242 0.681832697529635 0.72282058187141 0.690461789424986 0.712848625132604 0.724701955057569 0.702322372866076 0.71761684121684 0.715559828764272 0.71086022132528 0.718925707203533 0.714985478126883 0.718486989518176 0.720692178150785 0.729032151473137 0.721317696540966 0.7193142361769 0.74030723583614 0.701254814559238
HTR1B 0.518879286040737 0.517555919072455 0.535028830866491 0.537678798063708 0.538608396354657 0.52656774453265 0.514565730866798 0.524941786397059 0.53003480520833 0.539307992253156 0.540173399344389 0.52230249510612 0.540277097573691 0.526888448728345 0.571236380952969 0.543011230497083 0.522176302018739 0.525246350973818 0.553629778583703 0.531638049046635 0.507601693329541 0.526076430210899 0.569368942072643 0.528238135112823 0.531322617687767 0.522162131685333 0.526510135041758 0.537997148323932 0.560217292204804 0.521411776021467 0.544227391397563 0.518053940900282 0.525404055968147 0.556594367491097 0.526472998926949 0.522523001632102 0.501830111532631 0.524512180267927 0.528905124238034 0.525666133924374 0.522594565091471 0.515608764965294 0.541482039626861 0.55417374511078 0.543235894184879 0.538968455471343 0.558931543996129 0.534110794054765 0.537785405721073 0.548449298514579 0.528181260796651 0.549988061961773 0.540377446470393 0.531608828200384 0.551340712698851 0.543788619496554 0.539122621557965 0.542804502748289 0.512040542712799 0.558700778856574 0.545348704452269 0.549868577267017 0.522406485915733 0.537567601424529 0.527542091643861 0.53332984245463 0.551663065122846 0.533035949587907 0.56041237224953 0.53540958800432 0.547672564287297 0.542335793311237 0.527703265092797 0.566738595925026 0.54319716293201 0.554051302151311 0.537954389870937 0.548008128668355 0.556425083621702 0.524138233921115 0.537498366055332 0.539623040197035 0.519312913898011 0.534715713475845 0.522709868770177 0.547122809273266 0.526857995108348 0.541686940125153 0.535949181571575 0.539536907594875 0.539619379459483 0.526178891303187 0.528229089861599 0.538539234059641 0.517888042480124
DRD4 0.556156770573029 0.601527749414723 0.519423680358597 0.624341705353918 0.474718594933815 0.555733142764044 0.551542496658085 0.619134100544685 0.599552094801047 0.568922565982499 0.482730620699272 0.640297432010198 0.619514779549585 0.426702004589615 0.644592139656652 0.45361107957372 0.644419167795673 0.574503233575007 0.540734967766164 0.469251144673639 0.6358924706121 0.464404322795222 0.55252826538922 0.4736424945445 0.609966733454371 0.637096057779191 0.522776792883249 0.556926361864861 0.601707537317208 0.566524992695844 0.494463676649932 0.603281877188325 0.569105103470725 0.489324551998074 0.623469261422588 0.600926682971093 0.522350401261766 0.658101055142817 0.628046540545262 0.632564705171747 0.46166135325683 0.636506725640241 0.547630218021303 0.541754317131832 0.616711463895808 0.49639337129695 0.384167636686426 0.539835690150921 0.557486808172648 0.591897607220415 0.663934521409361 0.623758999610953 0.649618304593842 0.595904933488945 0.657616047832083 0.590952573452971 0.66796400314836 0.58709171062583 0.606204415399047 0.582727773612351 0.554178761882735 0.39312936370137 0.408847025476932 0.622869117623523 0.601746461755368 0.587612594821564 0.492442223891382 0.626745311608642 0.523933493504027 0.605189836612306 0.622716767001469 0.556033960750986 0.501292738314167 0.51411671226053 0.622318563946272 0.580438303055841 0.594379205714999 0.607150572040413 0.591542391265646 0.64097750296051 0.629023399488447 0.576371541376642 0.594069277600264 0.528127833043711 0.631056006248619 0.366436904723976 0.507799826684046 0.395596896192371 0.615545779148449 0.632155175005445 0.595426042812919 0.620802108603526 0.598193351282151 0.469336640980917 0.470301268732398
