A1470 A1568 A1575 A1587 A1592 A1611 A1619 A1623 A1642 A1663 A1675 A1691 A1720 A1727 A1731 A1738 A1745 A1761 A1768 A1773 A1775 A1785 A1790 A1818 A1820 A3031 A3062 A3068 A3078 A3167 B1658 B1687 B1692 B1722 B1724 B1747 B1757 B1774 B1783 B1797 C1979 C2063 C2065 C2106 C2116 C2151 C2172 D2026 D2086 D2220 D2228 D2274 D2341 D2354 D2358 D2384 D2399 D2410 D2423 D2425 D2443 D2474 D2488 D2503 D2519 D2525 D2556 D2568 D2570 D2583 D2590 D3108 D3115 D3147 D3155 H0003 H0004 H0006 H0007 H0008 H0009 H0012 H0014 H0020 H0024 H0032 H0035 H0041 H0045 H0047 H0051 H0052 H0054 H0056 H0058 H0059 H0061 H0064 H0068 H0077 H0078 H0085 H0091 H0099 H0101 H0104 H0107 H0108 H0109 H0111 H0113 H0115 H0117 H0119 H0120 H0123 H0125 H0128 H0133 H0134 H0146 H0151 H0152 H0156 H0157 H0158 H0159 H0164 H0165 H0177 H0178 H0181 H0185 H0190 H0195 H0217 H0219 H0222 H0223 R3026 R3030 R3032 R3040 R3041 R3045 R3057 R3066 R3075 R3080 R3091 R3126 R3171 R3173
cg00022871 0.691415170119355 0.714376715862045 0.695299143175442 0.681063781563108 0.669992243280132 0.707015444947091 0.702159239122519 0.702952451775364 0.686459048135218 0.682677186024958 0.665239990408031 0.722082527828402 0.688888586851581 0.65758659546212 0.73403386191794 0.674445811446132 0.671557492238247 0.704089178256984 0.661158887084396 0.690462702957055 0.696836671176239 0.696201121768574 0.708621033039708 0.707564079254813 0.688299627776392 0.692065731601743 0.702070254093798 0.690221507687684 0.670303109668228 0.733701491456346 0.663531536024236 0.720537307833849 0.766087903499601 0.692499677996606 0.649025327688156 0.657589399427376 0.733069375364672 0.712888333731543 0.691215182202533 0.737179032980234 0.70453929634496 0.694540380407677 0.700215971977968 0.689330755637916 0.684400579949478 0.67339447400495 0.699405997838621 0.687629305028132 0.713767660273564 0.720999651330663 0.646814869054119 0.665232737588052 0.69248049928312 0.720766007601301 0.69155219688773 0.692593690530877 0.703083405873248 0.666844717091323 0.720455767851306 0.688363202094808 0.698305192759947 0.725443295234342 0.755354242801312 0.735024543580003 0.697288042792213 0.721341205501743 0.715687752977892 0.652624380137609 0.727200482590077 0.70516989697629 0.650215285904408 0.67775415328993 0.673068592034559 0.683685893856293 0.715578869761439 0.677937648050309 0.713363878616248 0.711973044339737 0.721246713876129 0.681142005493576 0.673846030079968 0.670463638938865 0.663751419153738 0.723257058906956 0.69724305266359 0.678909442942514 0.684152950830556 0.729304721882889 0.685088820895183 0.688371814010271 0.666857564015758 0.67024719040886 0.700839169438505 0.742859774553083 0.68946858592155 0.685122634545525 0.715199283095313 0.688479874706178 0.66387090321216 0.659408816412429 0.68493761753374 0.687175034005521 0.658561940858864 0.748734666279661 0.711714708242136 0.702495932214174 0.655780293953926 0.686683339812787 0.689234969516673 0.662132475931876 0.686892889962337 0.733817261819227 0.67547021643084 0.673665070260587 0.711477923851739 0.685790467759571 0.687404876405939 0.715963612125256 0.717140043157565 0.677814550871959 0.7222629929856 0.673757593288727 0.660421218936353 0.701993202564382 0.68593761397921 0.671039983483552 0.650171958327462 0.637644436738557 0.653172905804042 0.707082736654347 0.670448621563153 0.66637132819833 0.677509240429392 0.682332826673262 0.737748838459461 0.669555207969016 0.676974796624513 0.691715358940521 0.702960460539403 0.66717453924301 0.675969301461112 0.689694974135111 0.698392063747202 0.705451132121452 0.713619178569114 0.674249865298582 0.708425849462536 0.705675492526853 0.666586510835383 0.673213621175879 0.705132787611419 0.715741601771881 0.689825264433238
cg00025823 0.453087932290542 0.429764549665105 0.396665346034492 0.420153467182488 0.429696149349016 0.479195459895829 0.432663550079706 0.443420237098588 0.425626261369895 0.414394907745829 0.397841946219501 0.446432459655057 0.436893245452919 0.4431865507791 0.431819908429782 0.436512613345496 0.42959946469022 0.436846056832305 0.479961705110174 0.446531987148172 0.434309299375135 0.444107570075735 0.438474982594342 0.412605598528234 0.438476016383123 0.427538383058667 0.399950981031236 0.445987764272736 0.431764872054541 0.430002046722322 0.417858738333987 0.431386556861024 0.489974649482022 0.427425855116657 0.42516543828448 0.441982947929574 0.466273470345106 0.419440952599445 0.454276782658615 0.419927007999974 0.446917529494917 0.433198145537701 0.44542410798735 0.460644905551562 0.427029410779044 0.455223227534641 0.422568598911844 0.404220805624528 0.433625375136413 0.466291725488535 0.465654413232008 0.435128756757679 0.417332067953338 0.442065124147721 0.442009114155278 0.440689428548625 0.400839335923012 0.406712300442464 0.443045136591558 0.443762882157505 0.416833333574795 0.405962904301262 0.406572171949791 0.45861712066201 0.432549720095585 0.452884013234194 0.427075346653017 0.433858319294394 0.445092171742175 0.441446303930711 0.426545528187795 0.425222668083362 0.47529476889481 0.473878716906323 0.44635568923163 0.42451849495992 0.418470252449169 0.424830215970159 0.473988181050967 0.45691393794947 0.434156474762035 0.455623692756761 0.481551373529391 0.464529569499424 0.434510856974147 0.444305183637019 0.459621791803875 0.473352631997705 0.438539824403231 0.480390167940178 0.42439963811287 0.467909177775957 0.435815501470863 0.450438489975268 0.437557848063675 0.456487125649425 0.422448191542727 0.444920446526284 0.395541661602802 0.455221116845427 0.439137128242793 0.438135151362664 0.455331854437058 0.445146666421378 0.460872507482169 0.471974700190493 0.443411866849084 0.43340046416437 0.406578919206208 0.401234900764585 0.476372450315834 0.445268137046516 0.446481438685258 0.431886314965557 0.438105016298923 0.413539617545072 0.429693606843788 0.431631953355656 0.413144989899815 0.44263329468114 0.485915042184112 0.421226499995575 0.448400287541388 0.430879132577297 0.420269689112924 0.436853168929204 0.447991215201155 0.454606801062957 0.438510035544166 0.446650319939146 0.402090052050681 0.431742559886724 0.473231227070349 0.460522676573456 0.422046886280056 0.46185466610642 0.47835585544436 0.446578760157748 0.443422861923784 0.430032757928586 0.458150917649127 0.387750665579913 0.434960229504505 0.445830222876154 0.447796727521855 0.439190400081147 0.461036826665187 0.445414874087812 0.438310726962937 0.427456530436068 0.46467484465195 0.448129206033633 0.437350594772975
cg00099240 0.423984704357991 0.406148142253063 0.456458193903082 0.432353428825166 0.346181764832806 0.518137172976944 0.385243064651083 0.448897137302976 0.479455158846839 0.410706461381007 0.440451978818129 0.444396509881459 0.400513097471351 0.416943739822185 0.469627550866545 0.447442150859242 0.432964741136311 0.437813060818444 0.400660888793525 0.455320467094432 0.434821617600186 0.379094263395384 0.409850414648841 0.426056181673586 0.464707682619698 0.401301194564595 0.411109235388386 0.381289992981811 0.437289533132869 0.441276716316905 0.422877403911888 0.410519145521246 0.511548333165428 0.425957167457422 0.404510165669181 0.408102582094382 0.438899549484906 0.460992493360206 0.468454411046823 0.413506567048515 0.394767588043277 0.430996540760375 0.499473046897576 0.442493634550548 0.397079104262854 0.440350025406934 0.465345941160912 0.358760037509178 0.393689116407975 0.391278532668263 0.408212833189536 0.424984913640743 0.403446122489741 0.450173015588517 0.472934074766148 0.370116321125569 0.43657154348054 0.358222017774549 0.412073260480253 0.494652813685529 0.43811903729013 0.346785342597485 0.44035101205829 0.396928545411831 0.45156905846165 0.409889234567346 0.392993473771545 0.47801256389557 0.40835925305 0.387612487467904 0.374085465530079 0.379899325021907 0.494058689671054 0.413959776887974 0.494745134547372 0.402477709474716 0.402156723736004 0.340205045127469 0.497355326861501 0.449189020881283 0.370189090101372 0.418904485866242 0.437318043345469 0.500355054630533 0.445841321887581 0.482343010630509 0.467925410902187 0.40931551316974 0.448971044911634 0.529572886862151 0.457016819465077 0.483735173075849 0.433423078223141 0.417456388894609 0.381161114917597 0.402718575564459 0.423514067760324 0.460708217426935 0.362535437126463 0.407241732281496 0.401060677863716 0.385459367586253 0.437868785947398 0.36172905062059 0.437792306066113 0.378782531570581 0.429352448537011 0.382963291646371 0.429822559905252 0.443276869133054 0.387563361641796 0.387234906842077 0.43971234656937 0.403250459770624 0.426783454663027 0.39177563815451 0.409215077588584 0.383321869150442 0.442347026949268 0.488637236376179 0.453338041959038 0.407962953185557 0.415685874173155 0.435151040012488 0.436212149949991 0.470490807384947 0.412184551497896 0.373305342033081 0.406905627589902 0.48368772194259 0.356125790786251 0.380016597978027 0.430071714670791 0.435276351772683 0.433465457623413 0.427832172170706 0.419464130494736 0.358607086259429 0.364773259661288 0.46527336666978 0.355615505451242 0.408906843336322 0.470626901724692 0.41911967756808 0.392892111038225 0.355723839089819 0.477163495734473 0.403561518585107 0.395562322528855 0.397399641871225 0.382184061807883 0.383181256669601 0.423378852597552
cg00335286 0.0939527363440953 0.113221233460541 0.0904606208800114 0.0897701707537708 0.074320571406573 0.0971549663417142 0.11075848267624 0.117130333682789 0.0890074985506743 0.0975826953819457 0.0841277706042698 0.0985801754622748 0.0735267722639441 0.115950137612641 0.0970592945594403 0.0836468241346117 0.0764525594915992 0.0702383806230393 0.14098251146736 0.0993471994246365 0.0611836808982789 0.0768426987461483 0.0852392580736341 0.0678404468839172 0.135730740492229 0.135704636552431 0.189876409699666 0.120966112207578 0.0793852433390583 0.0640481354121634 0.100775818421527 0.113169672452687 0.0984997464345912 0.0914507420912405 0.0914733420597872 0.0923959589954489 0.107646363646549 0.0694061721555001 0.0863858262420289 0.0989217525680043 0.0683606222534942 0.0923792673232465 0.0930844575041107 0.11041812702841 0.0801821066037545 0.0798082437640548 0.0778754263995 0.0877181064400289 0.0602481098892345 0.0825743672047942 0.0558203602620527 0.058521200167815 0.0763495932842561 0.109000299212399 0.0751146165293532 0.0741765283612829 0.0911057872203028 0.0824213910047662 0.13412729259962 0.140977534665326 0.0706181896530943 0.0888972325036462 0.0499021004873764 0.0925008899917102 0.140856082502138 0.0901830034735458 0.0964749185226073 0.112425612445853 0.0896454760381059 0.0821777644536967 0.073880434732506 0.0661598276750869 0.0798852540121534 0.0797912636344809 0.0596315338509401 0.0902756051183961 0.0986678052884814 0.144746287479493 0.127175829464258 0.140327855315023 0.0731083944095773 0.122390774566544 0.0853108531089839 0.0727685536979358 0.0628722596143737 0.0969252086424888 0.0974833560854543 0.101407578311288 0.0704273233319024 0.104450814519018 0.105582846680224 0.0873305867482736 0.103913834815268 0.0670239429981273 0.0614533180855125 0.0914081509612515 0.0797701763396171 0.104796948042532 0.0908532951326317 0.104584223134961 0.0767381046452618 0.0758725399901241 0.0740786104291241 0.103911750460935 0.148333538858287 0.126368263221899 0.101042285102901 0.0537548155695982 0.092388645416993 0.092514783542574 0.121339801568315 0.0728698446272395 0.0447328434532759 0.0720316758087621 0.0966217406179147 0.0702534438933812 0.0506392332808837 0.121038273589721 0.0852459136159852 0.0615870357320956 0.0875126325352398 0.0860109361222467 0.0969943900287069 0.0603941877780022 0.0770854294932909 0.068126995529935 0.0973912269354461 0.11908246751639 0.0758195658841321 0.0710562719736233 0.0742940618808157 0.0892070492316606 0.174350754527029 0.0980770317071412 0.126572940788104 0.0865633559362995 0.137528944177202 0.0865380762567808 0.154750065199507 0.062334898261563 0.106427032009451 0.143856819848791 0.0798808294085754 0.107372473851151 0.102977151530616 0.127763280010596 0.0681259658486909 0.135276373700469 0.0733928873348984 0.0771573957069179 0.138006729364876 0.119767565237036 0.0695575242470906
cg00366603 0.401119982162507 0.949040364820457 0.933846804848124 0.0527466403319829 0.0103677469961545 0.880371229570507 0.520383465240066 0.906766456517552 0.944229480299362 0.0329567255730054 0.915525906683718 0.492126983724706 0.223582378655304 0.0325644047221036 0.133124822460767 0.529211009402126 0.0667751578710768 0.367145925651912 0.566376108120114 0.923830201401629 0.505715144345508 0.453408278439957 0.562054364462776 0.900096840744435 0.527095368954562 0.91153049308208 0.574692091916484 0.366435774096654 0.070615796161308 0.584182925708671 0.727587266235121 0.920223358029482 0.939617044529441 0.0341240683539442 0.911679770478511 0.513214666279972 0.0989156095372451 0.0917689142627792 0.910247299684079 0.48638871269328 0.382636401423232 0.913855358666049 0.9361544026752 0.599202754475048 0.438905977357925 0.496340212787126 0.443741404668963 0.531384082735755 0.913621500885285 0.555642064495665 0.475451234357004 0.561602996427988 0.477978896211635 0.601934994430769 0.0215496964484982 0.063532541958927 0.0310196078188777 0.893274715711558 0.0688955986556464 0.670644310692657 0.507822276012908 0.502423777267416 0.589714838904437 0.367018000326738 0.429675230077011 0.512120792266866 0.0805077104503546 0.919292773915969 0.0292021115871393 0.381348529028583 0.476019877164242 0.929837055609073 0.922936239383923 0.915778801260553 0.613700008685702 0.0349601025387584 0.110160368672611 0.451628631135347 0.423467765488075 0.475648407775583 0.964360364146723 0.945473431133542 0.537073842381019 0.370440769168839 0.945615402170201 0.882497081839295 0.487059865316448 0.475666583349983 0.553268235312886 0.513198735749452 0.908191561698787 0.882348644269546 0.904340334289528 0.526261356120076 0.333545293243329 0.0506689931945983 0.715950327276099 0.60404755847084 0.558494911168218 0.211518544306188 0.133728040838582 0.0399658130818448 0.215920206724307 0.882270591200489 0.0496049159243285 0.637551332745405 0.0637440382866602 0.329688052375844 0.105190279464495 0.528458842340035 0.0231291377546547 0.0535352108446285 0.916265909395546 0.380075123638488 0.591510727656606 0.53362109356911 0.377910482464197 0.0682307029818774 0.0299937977040806 0.103755211181655 0.930374463978875 0.552908625427966 0.423361076004523 0.510546132390803 0.369651809838435 0.484884564973033 0.328893753272602 0.444337230245911 0.876190638860741 0.0332431237964134 0.911687180120851 0.894792933562803 0.118417727909284 0.942895826226625 0.940230571437278 0.95184320930841 0.0173181594200509 0.922206422896366 0.398996832101355 0.590112266867627 0.0535321045102599 0.86628755818131 0.251288518199409 0.0137415006841114 0.930485117776321 0.0263824550323706 0.0660056849342209 0.905429381789183 0.606293309894638 0.609012042590993 0.0182034008500268 0.921721757962043 0.0612375686303289
cg00428568 0.83397862688191 0.799864914673869 0.829501608880914 0.87194079801898 0.90489950988365 0.849019668333736 0.846013202439411 0.828718231284193 0.883882997589346 0.894323625270374 0.8755285804667 0.899335593093395 0.843997697237884 0.866883839687972 0.878961114814109 0.810510605082752 0.855248044726298 0.886506153675018 0.769153122419598 0.848842328277482 0.826673436841167 0.875084490855115 0.820270043591216 0.885117908490236 0.899960085851864 0.831807081457217 0.86814822773316 0.827174493963271 0.830373920999869 0.812884795863119 0.881878347518246 0.820090757840436 0.924232803824411 0.890166807244873 0.78246579456331 0.867179565780334 0.833186010595976 0.794612679562559 0.798526170210823 0.87862359886847 0.799662950786482 0.848500510738354 0.773080175076381 0.852963672319788 0.819680025318235 0.831268773783065 0.847056693989496 0.888965664203231 0.910483855133673 0.829215678308125 0.848532896599876 0.852743515473061 0.876660788478202 0.829308717302146 0.843641309899147 0.867968640813464 0.793894631033678 0.873129344283253 0.874598371302868 0.831300155155636 0.857559823556098 0.847240360980818 0.795078260019792 0.881543691292563 0.862304568329971 0.889646556965261 0.854498305074326 0.83876492889344 0.885696278687142 0.849521792596863 0.857953037313655 0.841235600432497 0.87200547795052 0.824009527182264 0.857364030956203 0.883302654642413 0.831002694114133 0.861495758459744 0.849102502238355 0.803563301935775 0.865020349783061 0.840816849358085 0.794317437842667 0.823992584638677 0.83460402170334 0.895049361372044 0.871913979599508 0.859316327630989 0.793364576698299 0.85148670440917 0.837383697650173 0.845908220526297 0.895220183632138 0.883506909223126 0.817357152846912 0.821951079983135 0.838648924001535 0.836883329481878 0.8767137116893 0.848516233617142 0.816507453035698 0.863434048957973 0.830234788871137 0.868126714370811 0.856650267714381 0.819377478356357 0.816781758574722 0.891371086626047 0.827430321084824 0.865629770014938 0.784056425563878 0.835609883599525 0.815048101087903 0.842547385928266 0.840537500635791 0.831737481718492 0.865811833588315 0.894520352448365 0.841118113312338 0.842134894825397 0.866116378928551 0.867996683433494 0.858182221532917 0.902233569229143 0.855729971051814 0.831524928138042 0.883693137382871 0.862322047106273 0.830351386881619 0.802347575609162 0.830847828436564 0.83210146709676 0.79608606157614 0.849826561827226 0.80758134893036 0.814067176480597 0.856934363834767 0.848738858142239 0.838777498783897 0.863683737703015 0.845090884302805 0.852871596836032 0.817673398190884 0.830478626831586 0.865679106392121 0.880017475013701 0.869931661161614 0.75077071895435 0.872613138945586 0.898843037656611 0.791378715444591 0.839003620248089 0.82972658469354
cg00468228 0.789879342565747 0.757470860928933 0.788032990173536 0.766233494548528 0.821321450438373 0.786082282174447 0.802567532656717 0.767687789727167 0.776413181625456 0.77643700801651 0.761768585899634 0.771052054735634 0.799687987547373 0.830488228930168 0.847842505097861 0.794769149011405 0.785761551066848 0.800531137108293 0.828132397937253 0.806429457780161 0.832917835504682 0.808125169141562 0.800195611320725 0.814230144304668 0.798864258663309 0.789368808607557 0.786251873695495 0.806353850975187 0.81019293425961 0.79310831450004 0.809081399541148 0.783139914049411 0.856899981530528 0.846607163910588 0.795714223963797 0.775388072051279 0.829159782504344 0.806538987310151 0.780657171238309 0.810847951290964 0.792208832982299 0.812889015044987 0.830729480678986 0.793668600809135 0.770238332456154 0.77060308201405 0.775982599906554 0.80174631322287 0.788533557272913 0.801163341646574 0.840319361963112 0.752981390927205 0.820688204655648 0.791832289713505 0.774647083303362 0.797522264034203 0.806304707731779 0.764902158306183 0.770652767389279 0.805574554657803 0.822970290897654 0.809538996979686 0.834319569665009 0.776786841916887 0.856528948826939 0.807105092558287 0.808984762937593 0.77457767617914 0.818380511616747 0.812526850383339 0.771545388707152 0.768548714176031 0.815953507337516 0.792891722685896 0.823375903551103 0.77872229942639 0.747635367395807 0.739925723843814 0.812903966824272 0.801512334332138 0.828835727156199 0.76698666863771 0.788539578926546 0.801662268374049 0.80653163821994 0.778323813635871 0.797735259170019 0.724360676674267 0.773171173940616 0.80836149141362 0.809263521831496 0.786934862491522 0.754076558555007 0.787288999696814 0.805755464908465 0.81378045201401 0.79593507691044 0.790517681529489 0.773151914288471 0.805537614282829 0.81206659785432 0.753457554872552 0.78725658135913 0.791684752453196 0.764854055517871 0.77766792586143 0.77395455456391 0.811161512773041 0.748730953328233 0.754575869674546 0.777651887985393 0.753675475120514 0.752268753778929 0.788057110833378 0.785648774756792 0.810906628948129 0.790180426898207 0.787496415892244 0.783967546405468 0.828091587829283 0.78582570200477 0.742897391626929 0.792676905608592 0.809644536533512 0.795553696613239 0.811678571379621 0.750080211295737 0.772963765701836 0.802830612465896 0.81203891632716 0.802660888818 0.782158043690006 0.795956002614267 0.817670945625449 0.732059253108025 0.750211731177184 0.792874796554772 0.81136650233621 0.780921466689173 0.807945321532442 0.799966818037209 0.762821223960743 0.810945227209882 0.785554395285535 0.81414087656535 0.770766232244209 0.770442830021682 0.731126095417213 0.797017860246399 0.792844500282651 0.781793374236341 0.806924033717934 0.802087981184514
cg00523604 0.073110848123283 0.095028130771459 0.0854428402838495 0.132296760999065 0.0706858293102131 0.12002671916406 0.0765545570010476 0.13663114197594 0.0940493442779507 0.0854859638596869 0.0851258453885167 0.110139967302917 0.100291662304117 0.104291315971726 0.107607368220136 0.0907201349543544 0.110414229335945 0.0947873970297198 0.0996542187554172 0.125594556456703 0.105436046284928 0.0868016612881172 0.0831161995257749 0.0844948009963139 0.159385577489086 0.0598919886798575 0.137874052700796 0.10964610615917 0.0840540795066312 0.0891220690562293 0.0665012668902961 0.0787412056727435 0.0834945513502091 0.113696975431065 0.107236899713539 0.0842713190569844 0.12820476599258 0.0704659443909231 0.112710705226089 0.0985017325739128 0.101612719087139 0.111096920695138 0.133501988805204 0.0992447919005915 0.106220300421925 0.162256070687397 0.122519652363342 0.112239010396339 0.106764416596863 0.0931948439573517 0.0789406297510089 0.0767436586057215 0.0737251045115905 0.108280056293028 0.108604193648772 0.0851550749172811 0.0878198775725781 0.103372863414914 0.0912761170934115 0.101210503186815 0.138719181859595 0.117401563909053 0.161371750680347 0.110779471682873 0.104954067456587 0.098644254445262 0.0972906847999414 0.096964624301015 0.0819890899771012 0.122144484857326 0.0979304575808433 0.0968671499778305 0.0742588440107505 0.0774515467349425 0.129046938116517 0.119207043681115 0.123104840876524 0.120155344800843 0.080630119509609 0.0730266195096627 0.0703583070589793 0.0932429491844102 0.0740670781036565 0.093772322821446 0.0634914907453867 0.0694033327225629 0.099016593709577 0.116562956000389 0.0668722546894418 0.100591214131551 0.0997805808050646 0.0981621020597144 0.093201800702612 0.122964755599595 0.0738427408899039 0.0907575992531986 0.11026307188897 0.103656981888753 0.14497827692729 0.111686026965516 0.130033482509555 0.0992843783390359 0.0751931060103312 0.0708616419589481 0.0826452874692528 0.0821722342585592 0.116351868900572 0.0962151039869406 0.114093901658446 0.0753408751573039 0.117105547621613 0.106341530025817 0.107753943277286 0.0812961570208659 0.0941607724086659 0.126716266434833 0.109733250494045 0.117711929596212 0.115450035206125 0.138535913091683 0.108777782139059 0.0875560647324505 0.0923704424744325 0.0904246687473074 0.106475856648063 0.0955419688510731 0.0938368155577378 0.0786791437806346 0.127558322592093 0.0896519454999697 0.0993006775112662 0.106280672674565 0.101219316396278 0.134087870272027 0.125697277107104 0.110424300739273 0.0824192864300985 0.0967106589929649 0.110864868576013 0.124188336181888 0.0968805364817146 0.114938008061023 0.108443917390678 0.0739524250771371 0.135692161562909 0.110367914875868 0.0885940378627023 0.14172028692468 0.131662004863004 0.0944924034189492 0.0984083097327337 0.0895804966774352 0.0746311367796509
cg00525874 0.732717487262914 0.757859364099894 0.740058217470275 0.756057072345979 0.657351325136821 0.735812192510797 0.662472866802993 0.743360891558783 0.659503818971586 0.746463363454393 0.666789232203716 0.655385278606686 0.196058770930738 0.68246791921469 0.743329808768545 0.684684330527048 0.708394938841643 0.679365094707772 0.727226098526225 0.666074136236496 0.741497696147838 0.666126213497879 0.717143882411432 0.78812410379845 0.637300067355423 0.651924401892045 0.711290253500191 0.680182283401257 0.636480926816993 0.69619196884067 0.668014543896259 0.726192618380336 0.695549940505708 0.711855865545986 0.685994046559337 0.678449548776814 0.647534292894093 0.750601434801876 0.68505431966527 0.691333838258461 0.694833556668828 0.73548484143679 0.727955961656856 0.752632580259491 0.699172456852527 0.579317961500972 0.731030316677739 0.676574442203443 0.130388259751578 0.745832400572784 0.753139370550825 0.710047318744667 0.743083199163363 0.722919027363168 0.688721352905809 0.706841676153481 0.703298754642647 0.70465927265832 0.752154050763038 0.731452361230285 0.704286032847562 0.69201486539573 0.652080597583723 0.651089284780785 0.687483049683322 0.663876929009191 0.131035090319067 0.631566882558084 0.765612519984035 0.706677685711718 0.661404131099927 0.621385528672499 0.731403634903385 0.679459835299401 0.735948200966118 0.638365128719919 0.663622077737921 0.700618006700591 0.696475104780977 0.610379430494569 0.693232085984871 0.70251862376229 0.722506027528222 0.742242637692546 0.714074486831667 0.730326669051183 0.626217935482391 0.658217448229134 0.718680333018528 0.710911270012375 0.712947534036357 0.665694275177802 0.714238085369272 0.606052854540763 0.634166011577608 0.716842193890935 0.680653717316974 0.636305141932476 0.695184627487175 0.731132752794859 0.728701767269779 0.613832862753207 0.730138926643144 0.718657695497097 0.713950444053824 0.586431284117694 0.103853561813072 0.656539851669695 0.629880196930149 0.700615809801794 0.624114871318831 0.676180483719389 0.671237378422923 0.692894532699297 0.71186157667629 0.704431759407914 0.657843866271513 0.749645337865543 0.662360140636813 0.731226355500998 0.696409258031437 0.649556829572742 0.666877314466984 0.594893979598093 0.640841141251802 0.726352547354963 0.717299569833206 0.694183097566393 0.715382734142546 0.78048415225105 0.659748978693116 0.750602648958776 0.66518296235644 0.718227921253943 0.621513263793121 0.742322761122382 0.690513572763454 0.730180340118729 0.744251234441629 0.699938734859717 0.617653384609072 0.74787746967924 0.72866618652498 0.713164218915886 0.733061551398606 0.634032278181805 0.71759592255738 0.719895854384034 0.689952543783069 0.751789224452108 0.691978660959435 0.688673210500555 0.690558424310896
cg01049782 0.534848211522365 0.57174797123148 0.519600471646061 0.577469772479886 0.538585341434539 0.535314500464418 0.581937083193089 0.538855952228359 0.564376676398016 0.514423166936329 0.546179562559567 0.509314841248177 0.529375701969758 0.628284570257675 0.55716628957461 0.566150779583493 0.586072551594875 0.563739789765446 0.624312670772394 0.527468843356613 0.58546067783383 0.593233279881098 0.517737732196533 0.541371622676596 0.523450750409628 0.564805937229616 0.634719156511823 0.576080545068745 0.530515508947467 0.530851339710895 0.496772723516472 0.526854652312785 0.556271490376782 0.517414563751799 0.560299442656659 0.600694072031937 0.57150454482208 0.534334639835666 0.576494300833001 0.564641661533627 0.552784783123987 0.543062086186714 0.596540602865427 0.574729887796195 0.614565455256152 0.524549813341674 0.586170058413108 0.519074656862449 0.598819366969682 0.553174444774474 0.62463990322389 0.551883323323183 0.494217169049398 0.52320027171475 0.498534863168074 0.542481135637328 0.612674520926085 0.541455961227015 0.585054885239371 0.625775467176865 0.508540926866712 0.555717054085575 0.53490767595331 0.551164493698852 0.520260338323989 0.438956740494669 0.564875248306306 0.528880323638724 0.600292851843284 0.493844928139136 0.519108186648035 0.542743617895282 0.607237538077273 0.57043469703933 0.568466463259326 0.574465032253567 0.564137075577554 0.549549838914191 0.607477500504094 0.620568786052602 0.583511538534606 0.613647139605135 0.634539526805542 0.602111861796892 0.568247890675925 0.632535752055667 0.607311810350477 0.590785935077354 0.5643039973434 0.559188708586725 0.619594745153624 0.519524282147463 0.531720002830611 0.562356050729479 0.605919614838218 0.64422857733229 0.573103103532133 0.602514999132378 0.541804847683264 0.598182767332261 0.565405869692982 0.563889850365487 0.649345625468326 0.555564639074817 0.613092154240094 0.609326467917103 0.597410224161976 0.534476869515237 0.558651187702295 0.547765827179961 0.552762965899417 0.570035235430346 0.543436280287073 0.545095754773442 0.558309481676342 0.476904866246413 0.592609167899977 0.533038742432134 0.473714040404551 0.632781465425622 0.563261077802994 0.461389535677858 0.572867057767681 0.512667312150313 0.413341853043599 0.547587035807834 0.585095177243718 0.576038434875365 0.573613221190663 0.553637868358899 0.580069927274695 0.591900463177495 0.599641020241674 0.594764315281098 0.564605337839336 0.530493322207011 0.563356813721373 0.561619415350971 0.600538644211204 0.557168414116308 0.501588057541685 0.538102872636609 0.570101131681675 0.565013279883654 0.588109993055369 0.589649543984648 0.572361606043502 0.613807559341114 0.536413393070313 0.527636923834903 0.589832754658004 0.508078201746206 0.586521409809651
